序号,年份,组合,试点,基本苗（万/亩）,最高苗（万/亩）,分蘖率(%),有效穗（万/亩）,成穗率（%）,株高（cm）,穗长（cm）,每穗总粒数,每穗实粒数,结实率(%),千粒重(g),播期（月/日）,栽期（月/日）,秧龄/天,始穗（月/日）,齐穗（月/日）,成熟期（月/日）,全生育期（天）
1,2009,辐优886,省院,4,22.8,470,13,57,138,23.3,186.7,101.6,54.4,31.7,5月5日,6月6日,32,8月15日,8月18日,9月22日,137
2,2009,辐优886,凤阳,3.2,20.1,528.1,13.6,67.7,120.9,24.6,201.4,171.3,85.1,31.8,5月7日,6月13日,37,8月22日,8月25日,10月6日,152
3,2009,辐优886,芜湖,6.9,26.4,282.6,16.2,61.4,130.3,24.6,158.6,126.1,79.5,30.9,5月8日,6月9日,32,8月12日,8月18日,9月16日,131
4,2009,辐优886,六安,4.9,25.2,414.3,16.4,65.1,131,22.8,173.6,110.3,63.5,30.6,4月28日,5月30日,31,8月14日,8月17日,9月16日,141
5,2009,辐优886,全椒,5,31.8,536,17.4,54.7,136.7,22.3,172.9,100,57.8,30,4月29日,6月3日,35,8月15日,8月19日,9月19日,143
6,2009,西农优5号,省院,3.2,21.8,581.3,13.6,62.4,130,26.6,165.5,151.3,91.4,27.5,5月5日,6月6日,32,8月13日,8月16日,9月21日,140
7,2009,西农优5号,凤阳,3.9,21.7,456.4,14.5,66.8,121.1,22.9,152.2,142.6,93.7,29.2,5月7日,6月13日,37,8月23日,8月26日,10月9日,155
8,2009,西农优5号,芜湖,7.2,27.2,277.8,17.3,63.6,129.6,24.3,180.1,145.6,80.8,28,5月8日,6月9日,32,8月12日,8月17日,9月17日,132
9,2009,西农优5号,六安,5.3,31.2,488.7,16.2,51.9,133.6,23.4,167.5,148,88.6,28.3,4月28日,5月30日,31,8月11日,8月14日,9月17日,142
10,2009,西农优5号,全椒,4.6,34.6,652.2,18.6,53.8,142,23.1,160.3,127,72.9,27.3,4月29日,6月3日,35,8月16日,8月19日,9月18日,142
11,2009,C两优111,省院,4.2,31.2,642.9,19.6,62.8,120,22.2,160.4,136.9,85.4,23.9,5月5日,6月6日,32,8月9日,8月12日,9月15日,139
12,2009,C两优111,凤阳,4.6,25.3,450,17.1,67.6,114.7,21.5,151.3,126.6,83.7,28.1,5月7日,6月13日,37,8月16日,8月19日,9月25日,141
13,2009,C两优111,芜湖,7.8,29.4,276.9,19.5,66.3,123.1,23.3,173.9,137.4,79,27.6,5月8日,6月9日,32,8月10日,8月13日,9月15日,130
14,2009,C两优111,六安,5.3,29.2,450.9,17.4,59.6,116.3,22.8,138.2,103.1,74.6,31.6,4月28日,5月30日,31,8月9日,8月12日,9月12日,137
15,2009,C两优111,全椒,3.8,31.2,721.1,20,64.1,123.3,23.6,163.3,120.8,74,27.8,4月29日,6月3日,35,8月9日,8月13日,9月14日,138
16,2009,紫两优10号,省院,4.4,22.6,413.6,15.2,67.3,122,26.5,133.2,93.5,70.2,26.3,5月5日,6月6日,32,8月7日,8月11日,9月15日,136
17,2009,紫两优10号,凤阳,4.1,25.2,514.6,15.8,62.7,126.9,21.3,174,159,91.4,28.4,5月7日,6月13日,37,8月20日,8月23日,10月6日,152
18,2009,紫两优10号,芜湖,6.3,25.3,301.6,18.6,73.5,135.3,22.8,196,158,80.6,27.4,5月8日,6月9日,32,8月9日,8月13日,9月16日,131
19,2009,紫两优10号,六安,4.2,28,566.7,17.6,62.9,136.4,23.6,201,179.2,89.2,30.6,4月28日,5月30日,31,8月9日,8月12日,9月15日,140
20,2009,紫两优10号,全椒,4.6,33.6,630.4,18,53.6,135.3,24.6,182.3,132.6,72.7,27.8,4月29日,6月3日,35,8月7日,8月11日,9月16日,140
21,2009,峰两优938,省院,5.8,26,348.3,16.8,64.6,130,23.5,168.5,149.4,88.7,26.7,5月5日,6月6日,32,8月13日,8月16日,9月20日,141
22,2009,峰两优938,凤阳,3.8,24.8,552.6,17.4,70.2,132,23,165.4,141.9,85.8,28.4,5月7日,6月13日,37,8月20日,8月22日,10月2日,148
23,2009,峰两优938,芜湖,6.7,26.1,289.6,18.7,71.6,135.3,24.6,183.8,147.8,80.4,27.8,5月8日,6月9日,32,8月13日,8月16日,9月17日,132
24,2009,峰两优938,六安,6.3,20.6,227,14.9,72.3,135.3,21.5,186.3,151.5,81.3,28,4月28日,5月30日,31,8月11日,8月14日,9月17日,142
25,2009,峰两优938,全椒,4,26.4,560,18.4,69.7,137.7,22.2,165.6,130.4,78.7,27.5,4月29日,6月3日,35,8月16日,8月19日,9月19日,143
26,2009,Ⅱ优838（CK）,省院,3.8,22,478.9,14,63.6,126,22.1,200,169.7,84.9,26.8,5月5日,6月6日,32,8月11日,8月14日,9月20日,139
27,2009,Ⅱ优838（CK）,凤阳,3.9,24.4,525.6,15.2,62.3,123.8,21.7,158.1,141.9,89.8,29.2,5月7日,6月13日,37,8月19日,8月21日,10月1日,147
28,2009,Ⅱ优838（CK）,芜湖,7.6,28.6,276.3,17.8,62.2,128.3,23.9,166.3,140.7,84.6,28.5,5月8日,6月9日,32,8月10日,8月13日,9月17日,132
29,2009,Ⅱ优838（CK）,六安,3.5,25.1,617.1,15.8,62.9,132.1,22.4,193.6,170.6,88.1,26.8,4月28日,5月30日,31,8月10日,8月12日,9月17日,142
30,2009,Ⅱ优838（CK）,全椒,5,33,560,18,54.5,134.4,21.2,160.7,125,77.8,27.6,4月29日,6月3日,35,8月11日,8月15日,9月14日,138
31,2009,两优256,省院,3.6,22.6,527.8,12,53.1,130,24.8,177.7,152,85.5,26.1,5月5日,6月6日,32,8月9日,8月12日,9月20日,136
32,2009,两优256,凤阳,3.9,24,515.4,14.9,62.1,124.1,24,181.1,169.3,93.5,27.9,5月7日,6月13日,37,8月19日,8月21日,10月2日,148
33,2009,两优256,芜湖,5.8,24.4,320.7,16.9,69.3,129.6,24.4,197.9,162.5,82.1,26.3,5月8日,6月9日,32,8月9日,8月13日,9月15日,130
34,2009,两优256,六安,5.5,26.8,387.3,17.4,64.9,130.9,23.7,175.7,155.9,88.7,26.9,4月28日,5月30日,31,8月9日,8月12日,9月16日,141
